recording,event_or_utterance_id,expected_text,candidate,mode,legacy_outcome,candidate_outcome,delta_class,latency_delta_ms,notes
1786194763609,1786194763609_cmd_027,жёлтый,raw_ch3,clean_continuous,true,true,faster_stable_partial,-240.0000000000091,
1786194763609,1786194763609_cmd_027,жёлтый,raw_ch3,production_like,true,true,faster_stable_partial,-179.9999999999926,
1786194763609,1786194763609_cmd_027,жёлтый,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_027,жёлтый,raw_mix123,production_like,true,true,faster_stable_partial,-179.9999999999926,
1786194763609,1786194763609_cmd_027,жёлтый,webrtc_moderate,clean_continuous,true,true,faster_stable_partial,-240.0000000000091,
1786194763609,1786194763609_cmd_027,жёлтый,webrtc_moderate,production_like,true,true,faster_stable_partial,-140.00000000000057,
1786194763609,1786194763609_cmd_028,белый,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_028,белый,hpf80_mix123,production_like,true,true,faster_stable_partial,-180.00000000000682,
1786194763609,1786194763609_cmd_028,белый,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_028,белый,raw_ch3,production_like,true,true,faster_stable_partial,-180.00000000000682,
1786194763609,1786194763609_cmd_028,белый,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_028,белый,raw_mix123,production_like,true,true,faster_stable_partial,-180.00000000000682,
1786194763609,1786194763609_cmd_028,белый,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_028,белый,webrtc_moderate,production_like,true,true,faster_stable_partial,-120.00000000000455,
1786194763609,1786194763609_cmd_029,назад,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_029,назад,hpf80_mix123,production_like,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_029,назад,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_029,назад,raw_ch3,production_like,true,true,unchanged,0.0,
